customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Original_Index,Churn_Probability,Predicted_Churn,Risk_Level,Customer_Segment,Retention_Recommendation,Retention_Strategy,Retention_Priority,Recommended_Campaign
4376-KFVRS,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,No,437,0.0041972185,0,Low,0.0,Review pricing and provide personalized offer; Offer fiber service support or loyalty benefit,Maintain regular engagement; Personalized pricing review; Fiber service experience review; Loyalty and long-term customer engagement,Low,Customer Loyalty Campaign
2754-SDJRD,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,No,2280,0.9300961,1,High,1.0,Priority retention outreach; Offer annual or long-term contract incentive; Promote online security service; Offer online backup package; Review pricing and provide personalized offer; Offer fiber service support or loyalty benefit,Immediate retention outreach; Long-term contract conversion offer; Online security package promotion; Personalized pricing review; Fiber service experience review; Early intervention and retention campaign,Critical,Immediate Personal Outreach
9917-KWRBE,Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,No,2235,0.05529517,0,Low,0.0,Offer technical support assistance,Maintain regular engagement; Technical support promotion; Loyalty and long-term customer engagement,Low,Customer Loyalty Campaign
0365-GXEZS,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,No,4460,0.17864974,0,Low,1.0,Offer annual or long-term contract incentive; Promote online security service; Offer online backup package; Offer fiber service support or loyalty benefit,Maintain regular engagement; Long-term contract conversion offer; Online security package promotion; Fiber service experience review; Early intervention and retention campaign,Low,Contract Upgrade Campaign
9385-NXKDA,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,No,3761,0.004408018,0,Low,0.0,Offer technical support assistance; Review pricing and provide personalized offer,Maintain regular engagement; Technical support promotion; Personalized pricing review; Loyalty and long-term customer engagement,Low,Customer Loyalty Campaign
4686-UXDML,Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,No,5748,0.8007125,1,High,1.0,Priority retention outreach; Offer annual or long-term contract incentive; Offer technical support assistance; Promote online security service; Review pricing and provide personalized offer; Offer fiber service support or loyalty benefit,Immediate retention outreach; Long-term contract conversion offer; Technical support promotion; Online security package promotion; Personalized pricing review; Fiber service experience review; Early intervention and retention campaign,Critical,Immediate Personal Outreach
2227-JRSJX,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,No,3568,0.44433165,0,Medium,1.0,Offer annual or long-term contract incentive; Promote online security service; Review pricing and provide personalized offer; Offer fiber service support or loyalty benefit,Proactive retention communication; Long-term contract conversion offer; Online security package promotion; Personalized pricing review; Fiber service experience review; Early intervention and retention campaign,Medium,Contract Upgrade Campaign
4830-FAXFM,Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,No,2976,0.08149757,0,Low,1.0,Offer annual or long-term contract incentive,Maintain regular engagement; Long-term contract conversion offer; Early intervention and retention campaign,Low,Contract Upgrade Campaign
1830-IPXVJ,Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,No,5928,0.0019038084,0,Low,1.0,Continue regular customer engagement,Maintain regular engagement; Early intervention and retention campaign,Low,Customer Loyalty Campaign
4690-LLKUA,Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,Yes,1639,0.6124552,1,Medium,1.0,Offer annual or long-term contract incentive; Offer technical support assistance; Promote online security service; Offer online backup package,Proactive retention communication; Long-term contract conversion offer; Technical support promotion; Online security package promotion; Early intervention and retention campaign,Medium,Contract Upgrade Campaign
